t,a_il_0,a_il_1,a_il_2,a_il_3,a_il_4,a_il_5,a_il_6,a_il_7,a_il_8,a_il_9,a_il_10,a_il_11,a_il_12,a_il_13,a_il_14,a_il_15,a_il_16,a_il_17,a_il_18,a_il_19,a_il_20,a_il_21,a_il_22,a_il_23,a_il_24,a_il_25,a_il_26,a_il_27,a_il_28,a_il_29,a_il_30
8003.635528,1.614007,-0.452185,-0.029845,0.515303,-0.170557,0.357344,0.521188,-0.431012,0.931867,-1.064776,-1.262696,-0.658822,-0.230789,0.703535,1.052494,0.473505,-1.349296,0.797703,-0.760244,-0.125804,-0.181613,-1.182192,0.863985,-0.785455,-0.552802,-0.180052,-0.177108,1.063807,-0.938418,0.131034,-0.155611
8003.655514,2.578464,-1.265214,-0.682563,0.600933,0.005178,0.477911,1.225906,-0.223023,1.254182,-0.681627,-1.946023,-1.365642,-0.423649,1.048110,3.035695,1.583833,-2.107404,0.786620,-0.681957,-0.649730,-0.251205,-1.356328,1.142234,-0.967179,-0.503234,-0.191198,-0.296984,1.855914,-1.553615,0.407128,0.299216
8003.675449,3.248043,-1.864750,-0.993111,0.103034,-0.111735,0.185305,1.515000,0.083385,1.135680,-0.279033,-2.429189,-2.174241,-0.399108,1.213847,3.640870,3.222933,-2.503774,0.488823,-0.310028,-1.192662,-0.568015,-1.343363,1.342041,-1.158867,-0.557767,-0.313840,-0.216407,2.523609,-2.021822,0.759035,0.750954
8003.696181,3.192324,-1.868444,-0.847794,-0.147705,-0.304907,-0.010514,1.388623,0.348667,0.451387,0.014252,-2.433220,-2.945892,-0.141594,1.052703,3.813636,4.072293,-2.738344,0.266483,-0.101256,-1.301748,-1.016398,-1.297958,1.467144,-1.031298,-0.602576,-0.358898,-0.074803,3.133023,-2.315746,1.019648,1.104274
8003.715469,2.717363,-1.723690,-0.721980,-0.296358,-0.700058,-0.228994,1.213612,0.657326,-0.513820,0.499738,-2.401139,-3.539168,0.125430,0.921805,4.245059,4.852921,-2.816710,0.250019,0.070475,-1.276466,-1.582655,-1.291635,1.525107,-0.872259,-0.662972,-0.341501,0.033323,3.717289,-2.427440,1.099513,1.528718
8003.735501,2.036645,-1.489223,-0.511592,-0.195192,-0.846201,-0.194843,1.010404,0.786577,-1.392989,0.575116,-2.297882,-3.995768,0.139691,0.647145,4.345481,4.779746,-3.007649,0.163374,0.101854,-1.099461,-1.865454,-1.279966,1.489003,-0.726631,-0.712200,-0.286131,0.099830,4.254581,-2.336785,1.011693,1.740710
8003.755509,1.425775,-1.206262,-0.258327,0.017394,-1.163588,0.057072,0.753712,0.886673,-1.767756,0.518312,-2.221364,-3.990475,0.146233,0.346370,4.141042,4.469206,-3.480140,0.047084,0.122006,-0.610137,-1.653102,-1.358427,1.414025,-0.513583,-0.701811,-0.217075,0.120497,4.763821,-2.215590,0.862397,1.683461
8003.775484,0.922733,-1.000427,-0.127124,0.224894,-1.464645,0.357956,0.552948,1.050127,-2.076853,0.463240,-2.181394,-3.761575,0.044881,0.120736,4.023312,4.096885,-3.941537,0.093805,0.088103,-0.260745,-1.311292,-1.423342,1.337262,-0.402810,-0.634262,-0.168426,0.110858,5.136330,-2.105797,0.753989,1.389398
8003.795448,0.574687,-0.865350,-0.094554,0.488548,-1.583205,0.600033,0.370562,1.097388,-2.237602,0.225504,-2.190526,-3.367564,0.001676,-0.033886,3.942300,3.621332,-4.305272,0.050033,0.017123,-0.103133,-1.001977,-1.487678,1.241786,-0.356769,-0.588187,-0.192955,0.116477,5.445655,-2.058141,0.709971,1.001288
8003.815550,0.471829,-0.773289,-0.115855,0.627125,-1.512370,0.977390,0.279104,1.045730,-2.062744,-0.065719,-2.172196,-2.836613,-0.037775,-0.048836,3.850295,3.295027,-4.517139,0.032075,-0.002529,-0.085737,-0.685180,-1.497692,1.233733,-0.380525,-0.511191,-0.249867,0.073628,5.684309,-1.960565,0.845577,0.614437
