t,qw,qx,qy,qz,wx,wy,wz
8003.635528,-0.419798,-0.022573,-0.013264,0.907240,0.006294,-0.022478,0.000365
8003.655514,-0.419797,-0.022604,-0.013200,0.907240,0.000395,0.018905,0.007654
8003.675449,-0.420869,-0.021152,-0.013159,0.906780,-0.121822,-0.402128,0.355926
8003.696181,-0.423917,-0.016159,-0.011434,0.905485,-0.003551,-0.609206,0.329920
8003.715469,-0.425090,-0.008039,-0.008948,0.905071,-0.400285,-0.752380,-0.158640
8003.735501,-0.423467,0.000931,-0.008981,0.905867,-0.159274,-0.777028,-0.101649
8003.755509,-0.422278,0.008703,-0.005229,0.906409,0.032459,-0.642562,-0.200512
8003.775484,-0.420338,0.013940,-0.003060,0.907255,-0.063559,-0.493918,-0.209455
8003.795448,-0.418996,0.018436,-0.001174,0.907800,-0.000264,-0.427025,-0.074056
8003.815550,-0.418787,0.021039,0.000185,0.907840,0.012083,-0.327793,-0.012728
8003.835563,-0.418449,0.022254,0.000804,0.907967,0.008616,-0.073472,-0.052253
8003.855501,-0.418374,0.021529,0.000499,0.908019,-0.018684,0.036411,0.031069
8003.875481,-0.418717,0.020953,-0.000148,0.907875,-0.060143,-0.036646,0.025327
8003.895508,-0.418829,0.021232,-0.000595,0.907817,-0.041327,-0.018220,0.004666
8003.915479,-0.418686,0.021331,-0.000935,0.907880,-0.057914,-0.034946,-0.026985
8003.935449,-0.418494,0.021309,-0.001390,0.907968,-0.059638,0.018356,0.006238
8003.955526,-0.418494,0.021309,-0.001390,0.907968,-0.059638,0.018356,0.006238
8003.975439,-0.419232,0.021825,-0.002126,0.907614,-0.058716,-0.010472,0.042453
8003.995463,-0.419612,0.022102,-0.002608,0.907431,-0.073651,0.017945,0.049351
8004.016780,-0.419969,0.022142,-0.003280,0.907262,-0.056278,0.077835,0.026931
8004.035499,-0.420269,0.021394,-0.003828,0.907139,0.002532,0.090136,0.044494
8004.055559,-0.420718,0.020905,-0.003846,0.906942,0.053909,0.040532,0.056801
8004.075521,-0.421214,0.020600,-0.003469,0.906721,0.064046,0.029629,0.067385
8004.096696,-0.421779,0.020216,-0.003134,0.906468,0.055946,0.017814,0.086348
8004.115476,-0.422776,0.020004,-0.002414,0.906010,0.078029,-0.016497,0.095621
8004.135525,-0.423687,0.019921,-0.001723,0.905588,0.075637,-0.004312,0.096120
8004.155497,-0.424445,0.019713,-0.001063,0.905239,0.093287,0.003670,0.063291
8004.175503,-0.424964,0.019412,-0.000295,0.905002,0.112674,-0.006114,0.036403
8004.195495,-0.425315,0.018977,0.000570,0.904846,0.133081,0.031575,0.038735
8004.215556,-0.425742,0.018354,0.001554,0.904657,0.146020,0.005063,0.053363
8004.235474,-0.426201,0.017924,0.003020,0.904446,0.162445,-0.037224,0.031916
8004.255490,-0.426609,0.017937,0.004149,0.904249,0.084191,-0.034112,0.050251
8004.275520,-0.426873,0.017843,0.004581,0.904124,0.061604,0.019704,-0.004202
8004.295430,-0.426727,0.017494,0.004975,0.904198,0.079510,-0.002841,-0.020169
8004.316127,-0.426725,0.017387,0.005587,0.904197,0.091832,-0.054007,0.020822
8004.335436,-0.427088,0.018051,0.006935,0.904004,0.086645,-0.143621,0.055746
8004.355421,-0.427757,0.018960,0.008164,0.903658,0.067472,-0.117839,0.088165
8004.375499,-0.428609,0.019372,0.008974,0.903238,0.056178,-0.056035,0.110816
8004.395497,-0.429567,0.019358,0.009677,0.902775,0.081668,-0.052639,0.085656
8004.415472,-0.430008,0.019545,0.010653,0.902550,0.079921,-0.081704,0.014418
8004.435451,-0.430069,0.020054,0.011727,0.902497,0.062974,-0.098339,0.006634
8004.455551,-0.430284,0.020431,0.012644,0.902374,0.048885,-0.063681,0.036837
8004.475459,-0.430648,0.020863,0.013302,0.902180,0.047836,-0.061272,0.044269
8004.495485,-0.431237,0.021442,0.014325,0.901870,0.057881,-0.096031,0.079125
8004.515827,-0.432098,0.021960,0.015020,0.901434,0.036786,-0.070711,0.136220
8004.535472,-0.433674,0.022402,0.015660,0.900655,0.024745,-0.054880,0.170758
8004.555482,-0.435159,0.022828,0.016251,0.899917,0.040026,-0.056755,0.150761
8004.575547,-0.436306,0.023374,0.016871,0.899336,0.029565,-0.094179,0.097629
8004.595467,-0.436938,0.024311,0.017553,0.898991,0.024352,-0.141620,0.043467
8004.615440,-0.437026,0.025518,0.018462,0.898897,0.023069,-0.128593,-0.018952
8004.635494,-0.437036,0.026262,0.019228,0.898855,0.033961,-0.074130,0.035932
8004.655458,-0.437667,0.026620,0.019874,0.898523,0.030505,-0.031170,0.088870
8004.675479,-0.438843,0.026445,0.020161,0.897948,0.036445,0.011548,0.154464
8004.695463,-0.440310,0.026067,0.020392,0.897236,0.020903,0.029836,0.155035
8004.715829,-0.441339,0.025780,0.020552,0.896734,0.019898,0.040844,0.123668
8004.735486,-0.442264,0.025298,0.020567,0.896292,-0.011372,0.030304,0.065036
8004.755406,-0.442623,0.025198,0.020369,0.896122,-0.027414,0.031375,0.021078
8004.775515,-0.442755,0.024999,0.020085,0.896069,-0.003728,0.042825,0.025633
8004.795447,-0.443131,0.024639,0.020109,0.895893,-0.001533,0.038235,0.057470
8004.815410,-0.444077,0.024379,0.020146,0.895430,0.016608,0.022422,0.124580
8004.836902,-0.444999,0.024258,0.020312,0.894972,0.026524,0.010736,0.141269
8004.855476,-0.446465,0.024243,0.020645,0.894235,0.014227,-0.002891,0.126286
8004.875434,-0.447416,0.024275,0.020774,0.893755,0.001271,-0.007331,0.086598
8004.895479,-0.447825,0.024470,0.020840,0.893543,-0.009033,-0.028172,-0.005073
8004.915571,-0.447574,0.024967,0.021045,0.893650,-0.022823,-0.068565,-0.047800
8004.935444,-0.447025,0.025771,0.021286,0.893897,-0.024816,-0.063568,-0.050198
8004.955473,-0.446812,0.026267,0.021380,0.893986,-0.033394,-0.014011,0.011505
8004.975398,-0.447172,0.026352,0.020978,0.893814,-0.037199,0.031049,0.059901
8004.995471,-0.448084,0.026275,0.020516,0.893370,-0.025661,0.030065,0.142367
8005.015486,-0.449523,0.026067,0.020234,0.892659,-0.033941,0.018170,0.140088
8005.035395,-0.450428,0.026057,0.019904,0.892210,-0.035978,0.024980,0.062570
8005.055413,-0.450472,0.025867,0.019500,0.892203,-0.031297,0.071271,-0.024710
