t,q_left_hip_pitch_joint,q_left_hip_roll_joint,q_left_hip_yaw_joint,q_left_knee_joint,q_left_ankle_pitch_joint,q_left_ankle_roll_joint,q_right_hip_pitch_joint,q_right_hip_roll_joint,q_right_hip_yaw_joint,q_right_knee_joint,q_right_ankle_pitch_joint,q_right_ankle_roll_joint,q_waist_yaw_joint,q_waist_pitch_joint,q_waist_roll_joint,q_left_shoulder_pitch_joint,q_left_shoulder_roll_joint,q_left_shoulder_yaw_joint,q_left_elbow_joint,q_left_wrist_yaw_joint,q_left_wrist_pitch_joint,q_left_wrist_roll_joint,q_right_shoulder_pitch_joint,q_right_shoulder_roll_joint,q_right_shoulder_yaw_joint,q_right_elbow_joint,q_right_wrist_yaw_joint,q_right_wrist_pitch_joint,q_right_wrist_roll_joint,q_head_yaw_joint,q_head_pitch_joint
8003.635528,-0.188964,-0.013326,-0.042471,0.474664,-0.341593,0.043430,-0.372848,-0.008916,-0.030008,0.507452,-0.212549,0.051867,0.001246,-0.032889,-0.003551,0.392406,-0.047457,-0.022147,-1.171465,-0.002972,0.007057,0.004387,0.386845,0.045156,0.022147,-1.172999,0.006807,0.009727,-0.007057,0.000144,0.000000
8003.655514,-0.189348,-0.013326,-0.042471,0.483101,-0.347729,0.043238,-0.373998,-0.008916,-0.030008,0.512054,-0.219260,0.051100,0.001246,-0.032393,-0.003167,0.389722,-0.047457,-0.022530,-1.161878,-0.002780,0.007057,0.004387,0.384161,0.044964,0.022722,-1.163220,0.008533,0.009727,-0.007057,0.000048,0.000000
8003.675449,-0.217726,-0.011792,-0.034993,0.555389,-0.362686,0.038828,-0.389146,-0.006615,-0.027132,0.559991,-0.258376,0.040937,0.001438,-0.025166,-0.001320,0.355207,-0.040362,-0.029816,-1.086139,-0.002972,0.001335,0.004387,0.348305,0.034801,0.030583,-1.083646,0.012751,0.005150,-0.006676,-0.000048,0.000000
8003.696181,-0.237668,-0.009491,-0.022530,0.615981,-0.379559,0.034226,-0.391831,-0.004889,-0.021379,0.601791,-0.276208,0.032501,-0.002589,-0.018069,0.000391,0.307655,-0.028283,-0.036719,-0.980104,-0.003164,-0.000191,0.003624,0.304012,0.021572,0.037869,-0.979337,0.012943,0.002861,-0.006294,-0.000048,0.000000
8003.715469,-0.243996,-0.004122,-0.010450,0.670820,-0.425961,0.035185,-0.398734,0.001822,-0.018887,0.655863,-0.311681,0.024064,-0.000671,-0.011954,0.005885,0.251090,-0.015627,-0.039595,-0.857195,-0.003547,0.002098,0.003242,0.257993,0.005848,0.040937,-0.855853,0.010642,0.004005,-0.006294,-0.000527,0.000000
8003.735501,-0.243037,0.003739,-0.010450,0.715496,-0.478883,0.037869,-0.411388,0.008916,-0.019462,0.711661,-0.332198,0.019846,0.003739,-0.003887,0.015473,0.215042,-0.008341,-0.038637,-0.759214,-0.002972,0.004005,0.003242,0.224629,-0.010642,0.043046,-0.756338,0.010067,0.004387,-0.006294,-0.000719,0.000000
8003.755509,-0.243804,0.003547,-0.008149,0.759022,-0.496332,0.038637,-0.410813,0.009108,-0.018887,0.747901,-0.352906,0.012943,0.004506,0.000313,0.014650,0.201620,0.005081,-0.038445,-0.692103,-0.003356,0.004387,0.003242,0.202962,-0.019654,0.043430,-0.681365,0.010067,0.007820,-0.006294,-0.002445,0.000000
8003.775484,-0.238051,0.004889,-0.004698,0.780114,-0.509178,0.038828,-0.406979,0.011217,-0.015244,0.769568,-0.367288,0.004698,0.004698,-0.000266,0.012269,0.204880,0.014669,-0.038445,-0.651645,-0.003356,0.004768,0.003242,0.200086,-0.028666,0.044197,-0.639757,0.010067,0.008202,-0.006294,-0.003212,0.000000
8003.795448,-0.225396,0.005656,-0.002588,0.785675,-0.518191,0.038828,-0.397200,0.011984,-0.013710,0.779155,-0.374957,-0.002205,0.004314,-0.004260,0.010338,0.214083,0.024256,-0.038445,-0.621349,-0.003356,0.005150,0.003242,0.203154,-0.036911,0.044389,-0.614255,0.010067,0.008583,-0.006294,-0.004937,0.000000
8003.815550,-0.214083,0.005848,-0.001630,0.785483,-0.518958,0.039403,-0.386270,0.011984,-0.012751,0.779731,-0.378600,-0.005273,0.001055,-0.008681,0.006843,0.221945,0.032884,-0.038445,-0.601024,-0.003547,0.005531,0.003242,0.208714,-0.042663,0.044580,-0.599682,0.010067,0.008965,-0.006676,-0.006280,0.000000
