t,dq_left_hip_pitch_joint,dq_left_hip_roll_joint,dq_left_hip_yaw_joint,dq_left_knee_joint,dq_left_ankle_pitch_joint,dq_left_ankle_roll_joint,dq_right_hip_pitch_joint,dq_right_hip_roll_joint,dq_right_hip_yaw_joint,dq_right_knee_joint,dq_right_ankle_pitch_joint,dq_right_ankle_roll_joint,dq_waist_yaw_joint,dq_waist_pitch_joint,dq_waist_roll_joint,dq_left_shoulder_pitch_joint,dq_left_shoulder_roll_joint,dq_left_shoulder_yaw_joint,dq_left_elbow_joint,dq_left_wrist_yaw_joint,dq_left_wrist_pitch_joint,dq_left_wrist_roll_joint,dq_right_shoulder_pitch_joint,dq_right_shoulder_roll_joint,dq_right_shoulder_yaw_joint,dq_right_elbow_joint,dq_right_wrist_yaw_joint,dq_right_wrist_pitch_joint,dq_right_wrist_roll_joint,dq_head_yaw_joint,dq_head_pitch_joint
8003.635528,-0.006105,-0.006105,0.006105,-0.006105,0.018314,-0.006105,0.006105,-0.006105,0.006105,0.006105,0.018314,0.006105,-0.006105,-0.000004,0.004917,-0.006105,-0.006105,0.006105,-0.006105,0.006105,-0.007326,-0.007326,0.006105,-0.006105,0.006105,0.006105,0.006105,0.007326,-0.007326,0.003069,0.000000
8003.655514,-0.421246,-0.067156,0.067156,2.411478,-1.471306,-0.030525,-0.286936,0.018314,0.030525,1.642246,-1.874237,-0.787546,-0.006105,0.072162,-0.005097,-0.873016,-0.091576,-0.335775,1.776556,-0.079365,-0.007326,-0.007326,-0.873016,0.018314,0.445665,1.874237,0.115995,0.007326,-0.007326,0.003069,0.000000
8003.675449,-1.275946,0.213675,0.592186,3.681318,-0.445665,-0.164835,-0.531136,0.152626,0.299145,2.411478,-1.373627,-0.470085,-0.054945,0.203199,0.078925,-1.996338,0.604395,-0.409035,4.816851,0.030525,-0.417582,-0.007326,-1.935287,-0.873016,0.470085,4.548229,0.164835,-0.446886,0.021978,-0.021481,0.000000
8003.696181,-0.885225,-0.018314,0.616606,2.802198,-1.141636,-0.274725,-0.042734,0.030525,0.347986,1.959707,-0.738707,-0.482296,-0.213675,0.402490,0.129418,-2.728937,0.750916,-0.433455,5.390720,0.006105,-0.021978,-0.095238,-2.118437,-0.702076,0.457876,5.708181,0.006105,0.065933,0.021978,-0.003069,0.000000
8003.715469,-0.018314,0.311356,0.409035,2.277166,-2.851038,0.115995,-0.555555,0.518925,-0.042734,2.851038,-1.605618,-0.335775,0.018314,0.403662,0.481448,-2.545788,0.311356,0.103785,5.793652,0.006105,0.139194,-0.007326,-2.069597,-0.873016,0.238094,5.720390,0.006105,0.007326,-0.007326,-0.027618,0.000000
8003.735501,-0.042734,0.091576,0.006105,2.362637,-1.739927,0.140415,-0.286936,0.079365,0.018314,2.374847,-0.702076,-0.384615,0.164835,0.245638,0.198909,-1.336996,0.384615,0.054945,4.084249,-0.018314,0.065933,-0.007326,-1.556776,-0.653236,0.128204,4.401709,0.006105,0.051283,-0.007326,-0.015344,0.000000
8003.755509,0.042734,-0.006105,0.225885,1.703297,-0.470085,-0.006105,0.103785,0.030525,0.164835,1.422466,-0.885225,-0.543346,0.030525,0.221466,-0.239645,-0.299145,0.543346,0.042734,2.667887,0.006105,-0.007326,-0.007326,-0.543346,-0.470085,0.054945,2.924297,0.006105,0.153847,-0.007326,-0.046031,0.000000
8003.775484,0.457876,0.091576,0.103785,0.653236,-0.604395,0.006105,0.299145,0.091576,0.152626,0.824175,-0.494505,-0.384615,0.018314,-0.118244,-0.086772,0.311356,0.433455,0.006105,1.923077,0.006105,0.007326,-0.007326,0.006105,-0.457876,0.054945,1.666666,0.006105,0.007326,-0.007326,-0.021481,0.000000
8003.795448,0.604395,0.030525,0.128204,0.115995,-0.262516,0.091576,0.482296,-0.006105,0.091576,0.274725,-0.299145,-0.274725,-0.042734,-0.186321,-0.162262,0.445665,0.531136,-0.018314,1.324787,0.006105,-0.007326,-0.007326,-0.006105,-0.372406,0.006105,0.885225,0.006105,0.007326,-0.007326,-0.113543,0.000000
8003.815550,0.482296,0.018314,0.006105,-0.115995,0.030525,0.006105,0.506716,-0.018314,0.054945,-0.054945,-0.091576,-0.067156,-0.006105,-0.186125,-0.221345,0.360195,0.470085,-0.006105,0.860806,0.006105,0.021978,-0.007326,0.250305,-0.274725,0.030525,0.799755,0.018314,0.021978,-0.021978,-0.046031,0.000000
8003.835563,0.225885,0.018314,0.018314,-0.311356,0.262516,0.006105,0.238094,-0.030525,0.054945,-0.286936,0.018314,0.018314,-0.042734,-0.240045,-0.309827,0.274725,0.457876,-0.018314,0.531136,0.006105,0.021978,-0.007326,0.372406,-0.225885,0.067156,0.433455,0.006105,0.051283,-0.021978,-0.033756,0.000000
