t,target_left_hip_pitch_joint,target_left_hip_roll_joint,target_left_hip_yaw_joint,target_left_knee_joint,target_left_ankle_pitch_joint,target_left_ankle_roll_joint,target_right_hip_pitch_joint,target_right_hip_roll_joint,target_right_hip_yaw_joint,target_right_knee_joint,target_right_ankle_pitch_joint,target_right_ankle_roll_joint,target_waist_yaw_joint,target_waist_pitch_joint,target_waist_roll_joint,target_left_shoulder_pitch_joint,target_left_shoulder_roll_joint,target_left_shoulder_yaw_joint,target_left_elbow_joint,target_left_wrist_yaw_joint,target_left_wrist_pitch_joint,target_left_wrist_roll_joint,target_right_shoulder_pitch_joint,target_right_shoulder_roll_joint,target_right_shoulder_yaw_joint,target_right_elbow_joint,target_right_wrist_yaw_joint,target_right_wrist_pitch_joint,target_right_wrist_roll_joint,target_head_yaw_joint,target_head_pitch_joint
8003.635528,-0.312000,0.000000,0.000000,0.669000,-0.363000,0.000000,-0.312000,0.000000,0.000000,0.669000,-0.363000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,-0.600000,0.000000,0.000000,0.000000,0.200000,-0.200000,0.000000,-0.600000,0.000000,0.000000,0.000000,0.000000,0.000000
8003.655514,-0.305244,0.001574,0.003212,0.667214,-0.346407,-0.002368,-0.315315,0.000014,-0.000584,0.663901,-0.354343,-0.000915,-0.005093,0.004021,0.010554,0.198305,0.203148,-0.003618,-0.602580,-0.000510,0.001173,0.000268,0.204194,-0.202729,0.003047,-0.601343,-0.000792,0.001181,-0.001013,-0.000335,-0.000119
8003.675449,-0.294097,0.000750,0.008359,0.667301,-0.321027,-0.008998,-0.322203,-0.000583,0.000358,0.655604,-0.326653,-0.004257,-0.014801,0.003115,0.019089,0.196190,0.205059,-0.008483,-0.607119,-0.001859,0.002771,0.000632,0.211237,-0.203477,0.008266,-0.603463,-0.001443,0.002791,-0.002395,-0.001189,-0.000327
8003.696181,-0.284219,-0.001074,0.012161,0.668886,-0.294119,-0.015601,-0.328223,-0.002502,0.002820,0.647859,-0.290581,-0.011810,-0.019197,-0.000269,0.011527,0.196886,0.205087,-0.013612,-0.610955,-0.003586,0.004573,0.001043,0.216896,-0.202502,0.014903,-0.606146,-0.001134,0.004606,-0.003951,-0.002630,-0.000590
8003.715469,-0.279802,-0.003250,0.014347,0.674222,-0.260966,-0.020694,-0.332236,-0.007672,0.007266,0.641005,-0.247203,-0.024649,-0.021547,-0.007707,-0.017294,0.200868,0.205863,-0.018764,-0.613316,-0.004956,0.006363,0.001452,0.220937,-0.199788,0.021727,-0.609323,-0.000059,0.006410,-0.005499,-0.004437,-0.000854
8003.735501,-0.280996,-0.002993,0.015164,0.677237,-0.230524,-0.022812,-0.334228,-0.012118,0.011282,0.635135,-0.216808,-0.037304,-0.019094,-0.008201,-0.058634,0.203114,0.205416,-0.023947,-0.614569,-0.005632,0.008194,0.001870,0.220615,-0.197883,0.027821,-0.612916,0.001311,0.008254,-0.007081,-0.006530,-0.001165
8003.755509,-0.285422,-0.000127,0.013886,0.678255,-0.209378,-0.016402,-0.333950,-0.019925,0.015457,0.629525,-0.196773,-0.041158,-0.011571,0.002883,-0.089300,0.204652,0.203113,-0.030519,-0.613557,-0.005537,0.010037,0.002290,0.215865,-0.196295,0.032827,-0.615966,0.002409,0.010111,-0.008674,-0.008270,-0.001610
8003.775484,-0.291511,0.004109,0.012005,0.678739,-0.188430,-0.008850,-0.333295,-0.029541,0.021337,0.623691,-0.183926,-0.038973,-0.006642,0.021093,-0.122381,0.202960,0.203768,-0.037758,-0.612486,-0.005173,0.011884,0.002712,0.209189,-0.196175,0.036994,-0.617691,0.002953,0.011971,-0.010270,-0.009367,-0.002153
8003.795448,-0.297208,0.010793,0.009376,0.675032,-0.167201,-0.004192,-0.332993,-0.037147,0.025864,0.617009,-0.180636,-0.034434,-0.005645,0.040401,-0.150661,0.201137,0.202981,-0.045573,-0.612185,-0.006012,0.013731,0.003133,0.202277,-0.198052,0.040045,-0.619030,0.003567,0.013831,-0.011866,-0.009768,-0.002739
8003.815550,-0.298884,0.016245,0.007842,0.668257,-0.147215,-0.003376,-0.333061,-0.040666,0.028143,0.610774,-0.176352,-0.027100,-0.007786,0.074081,-0.156346,0.199054,0.202247,-0.052666,-0.613603,-0.008204,0.015586,0.003557,0.199073,-0.199378,0.044300,-0.619247,0.003074,0.015700,-0.013469,-0.009846,-0.003307
8003.835563,-0.296374,0.023375,0.006008,0.653108,-0.126222,-0.011452,-0.331430,-0.034822,0.023409,0.607385,-0.181647,-0.018431,-0.016103,0.107460,-0.132550,0.191298,0.205035,-0.059096,-0.615407,-0.010137,0.017439,0.003979,0.199014,-0.200878,0.050262,-0.618871,0.002327,0.017567,-0.015070,-0.009274,-0.003749
8003.855501,-0.291623,0.030864,0.007793,0.633479,-0.114017,-0.025485,-0.326132,-0.026293,0.013996,0.606255,-0.190722,-0.003787,-0.020465,0.124368,-0.081040,0.184570,0.205239,-0.065872,-0.617053,-0.012246,0.019287,0.004401,0.198804,-0.202414,0.056842,-0.619042,0.002129,0.019428,-0.016667,-0.008693,-0.004095
8003.875481,-0.290513,0.037435,0.010035,0.615986,-0.111937,-0.044466,-0.315573,-0.021575,0.003927,0.606615,-0.203419,0.008479,-0.016047,0.140288,-0.006790,0.185413,0.204601,-0.073100,-0.613627,-0.014399,0.021135,0.004823,0.199502,-0.203723,0.064495,-0.618449,0.002252,0.021290,-0.018264,-0.008487,-0.004394
8003.895508,-0.290320,0.043574,0.011555,0.602038,-0.109218,-0.060493,-0.304856,-0.022118,-0.003088,0.606098,-0.201103,0.015389,-0.013617,0.151326,0.048462,0.190582,0.205701,-0.080980,-0.605824,-0.017057,0.022987,0.005245,0.204013,-0.205804,0.072394,-0.615926,0.003685,0.023155,-0.019864,-0.008687,-0.004619
8003.915479,-0.293736,0.050151,0.009438,0.589900,-0.105832,-0.072936,-0.294590,-0.024737,-0.008687,0.606127,-0.194174,0.016298,-0.011451,0.158101,0.090292,0.189948,0.204822,-0.087161,-0.602073,-0.020686,0.024836,0.005667,0.205137,-0.206303,0.079557,-0.616573,0.005353,0.025018,-0.021462,-0.009404,-0.004800
8003.935449,-0.298426,0.053367,0.006713,0.580814,-0.102769,-0.078084,-0.283797,-0.028970,-0.013610,0.604538,-0.183865,0.017497,-0.013111,0.148223,0.114735,0.188909,0.206572,-0.092724,-0.597301,-0.023506,0.026684,0.006089,0.207130,-0.208725,0.085462,-0.616136,0.007397,0.026879,-0.023059,-0.009782,-0.004954
8003.955526,-0.300993,0.056429,0.005882,0.572039,-0.098058,-0.081334,-0.275696,-0.031329,-0.015940,0.603008,-0.175355,0.019526,-0.017274,0.131741,0.129721,0.185065,0.206078,-0.098533,-0.595069,-0.026395,0.028539,0.006512,0.207322,-0.211549,0.090084,-0.616408,0.010378,0.028747,-0.024661,-0.009920,-0.005086
8003.975439,-0.300932,0.060193,0.004917,0.562559,-0.102538,-0.085686,-0.269974,-0.030928,-0.017193,0.601320,-0.178372,0.022842,-0.022573,0.095161,0.141067,0.178582,0.205974,-0.103805,-0.594557,-0.029739,0.030385,0.006934,0.206064,-0.212768,0.093967,-0.618010,0.014655,0.030607,-0.026257,-0.009971,-0.005192
8003.995463,-0.301109,0.064102,0.004556,0.552834,-0.108109,-0.091082,-0.264364,-0.030551,-0.018913,0.599420,-0.184972,0.027545,-0.025779,0.061441,0.137042,0.170346,0.207565,-0.108815,-0.595407,-0.031784,0.032236,0.007356,0.203839,-0.214223,0.097528,-0.619272,0.019830,0.032472,-0.027856,-0.009989,-0.005274
8004.016780,-0.300293,0.068655,0.004320,0.541010,-0.115090,-0.098454,-0.258219,-0.029671,-0.021092,0.598122,-0.191865,0.032062,-0.025941,0.040786,0.128738,0.167886,0.207311,-0.115106,-0.596025,-0.034059,0.034164,0.007796,0.201509,-0.216692,0.101426,-0.620452,0.024808,0.034413,-0.029522,-0.009996,-0.005331
8004.035499,-0.300692,0.072491,0.004060,0.531687,-0.120383,-0.105503,-0.252879,-0.028662,-0.022308,0.595883,-0.195686,0.035065,-0.030298,0.026420,0.133153,0.161882,0.205953,-0.121023,-0.598085,-0.036209,0.035967,0.008207,0.200074,-0.219517,0.105468,-0.620538,0.029479,0.036230,-0.031081,-0.009999,-0.005337
8004.055559,-0.299540,0.075230,0.003653,0.522455,-0.134558,-0.111368,-0.248400,-0.029529,-0.024401,0.591854,-0.201066,0.037970,-0.034044,0.015755,0.141886,0.158736,0.204358,-0.127374,-0.599049,-0.038192,0.037804,0.008626,0.202086,-0.222905,0.109987,-0.619418,0.033518,0.038081,-0.032668,-0.009999,-0.005338
8004.075521,-0.298105,0.076547,0.002596,0.512802,-0.144277,-0.115959,-0.245216,-0.032367,-0.026706,0.587587,-0.203539,0.040140,-0.033331,0.013920,0.147092,0.161839,0.202867,-0.134382,-0.597946,-0.039548,0.039648,0.009047,0.204269,-0.225788,0.115215,-0.618869,0.037439,0.039937,-0.034261,-0.010000,-0.005328
