t,ramp_alpha,dry_run,tilt_trip,reason
8003.635528,0.000000,0,0,"ok"
8003.655514,0.009993,0,0,"ok"
8003.675449,0.019960,0,0,"ok"
8003.696181,0.030327,0,0,"ok"
8003.715469,0.039970,0,0,"ok"
8003.735501,0.049986,0,0,"ok"
8003.755509,0.059990,0,0,"ok"
8003.775484,0.069978,0,0,"ok"
8003.795448,0.079960,0,0,"ok"
8003.815550,0.090011,0,0,"ok"
8003.835563,0.100017,0,0,"ok"
8003.855501,0.109986,0,0,"ok"
8003.875481,0.119976,0,0,"ok"
8003.895508,0.129990,0,0,"ok"
8003.915479,0.139976,0,0,"ok"
8003.935449,0.149960,0,0,"ok"
8003.955526,0.159999,0,0,"ok"
8003.975439,0.169956,0,0,"ok"
8003.995463,0.179967,0,0,"ok"
8004.016780,0.190626,0,0,"ok"
8004.035499,0.199985,0,0,"ok"
8004.055559,0.210015,0,0,"ok"
8004.075521,0.219996,0,0,"ok"
8004.096696,0.230584,0,0,"ok"
8004.115476,0.239974,0,0,"ok"
8004.135525,0.249998,0,0,"ok"
8004.155497,0.259984,0,0,"ok"
8004.175503,0.269987,0,0,"ok"
8004.195495,0.279983,0,0,"ok"
8004.215556,0.290014,0,0,"ok"
8004.235474,0.299973,0,0,"ok"
8004.255490,0.309981,0,0,"ok"
8004.275520,0.319996,0,0,"ok"
8004.295430,0.329951,0,0,"ok"
8004.316127,0.340299,0,0,"ok"
8004.335436,0.349954,0,0,"ok"
8004.355421,0.359946,0,0,"ok"
8004.375499,0.369985,0,0,"ok"
8004.395497,0.379984,0,0,"ok"
8004.415472,0.389972,0,0,"ok"
8004.435451,0.399961,0,0,"ok"
8004.455551,0.410011,0,0,"ok"
8004.475459,0.419965,0,0,"ok"
8004.495485,0.429978,0,0,"ok"
8004.515827,0.440149,0,0,"ok"
8004.535472,0.449972,0,0,"ok"
8004.555482,0.459977,0,0,"ok"
8004.575547,0.470009,0,0,"ok"
8004.595467,0.479969,0,0,"ok"
8004.615440,0.489956,0,0,"ok"
8004.635494,0.499983,0,0,"ok"
8004.655458,0.509965,0,0,"ok"
8004.675479,0.519975,0,0,"ok"
8004.695463,0.529967,0,0,"ok"
