Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,108.981705,111.649467,78.728241,-0.403239,0.864110,-8.864209,-0.629068,3.073567,7.284074,10.154887,-10.061752,-1.476238,0.474719,-4.588085,-17.784269,8.246489,-8.322923,2.284612,0.886867,1.241963,0.395112,-2.137751,14.384455,-33.446903,62.861027,-4.691515,-2.870306,2.374496,-1.709326,-14.498874,36.870243,65.487274,10.819559,-3.560682,-15.527969
1.000000,108.980682,111.648796,78.728317,-0.403333,0.863039,-8.852636,-0.632221,3.070243,7.270460,10.157342,-10.061014,-1.474832,0.478270,-4.588440,-17.800846,8.246434,-8.323946,2.282476,0.888433,1.241467,0.395090,-2.138664,14.387219,-33.451054,62.858150,-4.685796,-2.868508,2.376451,-1.710064,-14.499330,36.876942,65.486267,10.819107,-3.556856,-15.532510
2.000000,108.979858,111.648926,78.728401,-0.402476,0.862448,-8.854619,-0.631344,3.067951,7.271207,10.156068,-10.060997,-1.472424,0.478149,-4.588861,-17.807341,8.247127,-8.323716,2.281870,0.890547,1.241518,0.395060,-2.139002,14.389261,-33.455654,62.855167,-4.683796,-2.865744,2.379026,-1.710721,-14.500074,36.882168,65.485695,10.819662,-3.553992,-15.536222
3.000000,108.979523,111.650597,78.728493,-0.401395,0.861924,-8.873547,-0.623910,3.067682,7.293140,10.150358,-10.062167,-1.469170,0.472972,-4.588743,-17.799271,8.248280,-8.321171,2.282003,0.891788,1.242126,0.395270,-2.139237,14.390268,-33.461197,62.852386,-4.684891,-2.861447,2.381353,-1.711032,-14.501416,36.885590,65.484787,10.820958,-3.552646,-15.539221
4.000000,108.979294,111.652435,78.728531,-0.401851,0.861423,-8.886388,-0.619226,3.067330,7.307062,10.148698,-10.063638,-1.466819,0.469321,-4.587830,-17.795446,8.248182,-8.318666,2.280476,0.890482,1.242440,0.395563,-2.140535,14.391512,-33.466873,62.849937,-4.682714,-2.857271,2.382234,-1.710984,-14.502766,36.889614,65.482956,10.821060,-3.551577,-15.542925
5.000000,108.978912,111.653481,78.728577,-0.403374,0.860735,-8.885998,-0.619595,3.066315,7.304317,10.150526,-10.064291,-1.465737,0.469710,-4.586975,-17.801682,8.247787,-8.317846,2.278549,0.889905,1.242038,0.395738,-2.141858,14.393044,-33.470631,62.848049,-4.678741,-2.855010,2.382513,-1.711073,-14.503474,36.893810,65.481415,10.820329,-3.549944,-15.546144
6.000000,108.978378,111.653862,78.728638,-0.404823,0.859954,-8.878813,-0.621927,3.064405,7.294254,10.153576,-10.064649,-1.464414,0.471864,-4.586157,-17.814949,8.247793,-8.317635,2.276174,0.890821,1.241020,0.395815,-2.143319,14.395511,-33.474945,62.845474,-4.672740,-2.852911,2.383291,-1.711555,-14.504121,36.900185,65.479691,10.819514,-3.546788,-15.550386
7.000000,108.977699,111.653694,78.728714,-0.405565,0.859165,-8.868648,-0.624974,3.061684,7.281736,10.156388,-10.064498,-1.462941,0.474741,-4.586019,-17.830166,8.247966,-8.318066,2.274189,0.892448,1.240000,0.395795,-2.144442,14.398185,-33.478954,62.842804,-4.666799,-2.851270,2.384654,-1.712251,-14.504602,36.906860,65.478394,10.819044,-3.543195,-15.554570
8.000000,108.976898,111.653175,78.728783,-0.405590,0.858335,-8.858006,-0.628058,3.058261,7.268721,10.158823,-10.063951,-1.461294,0.477944,-4.586400,-17.845518,8.247951,-8.318975,2.272459,0.893973,1.239288,0.395774,-2.145373,14.400954,-33.483002,62.839985,-4.661173,-2.849649,2.386534,-1.712997,-14.505026,36.913578,65.477455,10.818707,-3.539593,-15.558802
9.000000,108.975983,111.652374,78.728828,-0.405152,0.857379,-8.847476,-0.630881,3.054512,7.256124,10.160966,-10.063210,-1.459577,0.481141,-4.587044,-17.860092,8.247959,-8.320347,2.270984,0.895122,1.238867,0.395910,-2.146245,14.403704,-33.487148,62.836971,-4.655921,-2.847845,2.388850,-1.713721,-14.505446,36.920155,65.476830,10.818480,-3.536309,-15.563140
