Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-1608.299316,1506.983154,78.247528,1.231758,-0.035400,-6.892720,-10.019801,2.606617,6.718447,14.441427,-3.992888,-1.438778,5.906991,-5.897845,-20.203495,10.195396,-14.654885,3.134489,2.274383,0.919405,0.294715,-1.133532,16.754627,-39.592319,62.360752,12.868293,10.075788,5.315563,1.288353,-15.435139,38.917660,66.449486,-13.522833,10.546896,-12.361034
1.000000,-1608.298706,1506.984253,78.247688,1.231577,-0.036115,-6.893352,-10.017184,2.601484,6.716605,14.444256,-3.998244,-1.434521,5.905801,-5.894745,-20.201508,10.195808,-14.654509,3.131270,2.272931,0.919226,0.294827,-1.133589,16.754810,-39.591038,62.361080,12.864130,10.075228,5.319620,1.287051,-15.435426,38.918129,66.448135,-13.520175,10.546311,-12.363997
2.000000,-1608.297974,1506.985718,78.247940,1.231285,-0.037222,-6.894358,-10.014143,2.595524,6.714510,14.447560,-4.004478,-1.429566,5.904407,-5.891151,-20.199179,10.196291,-14.654052,3.127544,2.271246,0.919000,0.294927,-1.133651,16.755022,-39.589542,62.361473,12.859319,10.074591,5.324317,1.285543,-15.435756,38.918674,66.446564,-13.517082,10.545622,-12.367438
3.000000,-1608.296997,1506.987427,78.248199,1.230977,-0.038339,-6.895406,-10.010464,2.588326,6.712039,14.451574,-4.012014,-1.423595,5.902705,-5.886814,-20.196344,10.196872,-14.653474,3.123072,2.269213,0.918708,0.295014,-1.133723,16.755280,-39.587738,62.361954,12.853544,10.073838,5.329964,1.283726,-15.436145,38.919346,66.444672,-13.513350,10.544783,-12.371583
4.000000,-1608.296021,1506.989136,78.248451,1.230642,-0.039494,-6.896513,-10.006815,2.581212,6.709653,14.455574,-4.019486,-1.417662,5.901013,-5.882522,-20.193510,10.197447,-14.652864,3.118661,2.267205,0.918398,0.295061,-1.133788,16.755531,-39.585941,62.362438,12.847860,10.073113,5.335526,1.281936,-15.436523,38.920017,66.442802,-13.509653,10.543938,-12.375677
5.000000,-1608.295288,1506.990845,78.248711,1.230290,-0.040653,-6.897635,-10.003216,2.574243,6.707370,14.459518,-4.026822,-1.411825,5.899349,-5.878300,-20.190704,10.198011,-14.652220,3.114351,2.265240,0.918077,0.295074,-1.133844,16.755777,-39.584167,62.362923,12.842311,10.072420,5.340956,1.280184,-15.436890,38.920689,66.440971,-13.506030,10.543097,-12.379679
6.000000,-1608.294312,1506.992676,78.248970,1.229907,-0.041872,-6.898817,-9.999486,2.567072,6.705063,14.463601,-4.034371,-1.405783,5.897637,-5.873936,-20.187792,10.198592,-14.651508,3.109920,2.263209,0.917735,0.295038,-1.133935,16.756039,-39.582310,62.363388,12.836596,10.071698,5.346541,1.278388,-15.437260,38.921383,66.439095,-13.502300,10.542215,-12.383786
7.000000,-1608.293579,1506.994385,78.249237,1.229503,-0.043099,-6.899863,-9.995839,2.560022,6.702778,14.467565,-4.041718,-1.399825,5.895974,-5.869662,-20.185003,10.199157,-14.650767,3.105595,2.261117,0.917426,0.294804,-1.134358,16.756369,-39.580280,62.363552,12.830842,10.070813,5.352154,1.276654,-15.437616,38.922073,66.437302,-13.498653,10.541348,-12.387777
8.000000,-1608.292725,1506.996216,78.249512,1.229097,-0.044420,-6.901005,-9.992241,2.553180,6.700634,14.471389,-4.048806,-1.394016,5.894391,-5.865553,-20.182261,10.199720,-14.650021,3.101419,2.258988,0.917154,0.294365,-1.135038,16.756712,-39.578186,62.363461,12.825212,10.069819,5.357685,1.274995,-15.437960,38.922756,66.435577,-13.495137,10.540509,-12.391612
9.000000,-1608.291992,1506.998047,78.249779,1.228682,-0.045802,-6.902240,-9.989316,2.547760,6.699009,14.474447,-4.054440,-1.389369,5.893151,-5.862283,-20.180008,10.200179,-14.649392,3.098098,2.257272,0.916935,0.293963,-1.135595,16.756966,-39.576515,62.363373,12.820756,10.069032,5.362070,1.273684,-15.438225,38.923306,66.434227,-13.492346,10.539829,-12.394653
