Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,2533.025635,2321.911377,78.615601,-1.581146,-0.189519,-17.185007,1.984710,2.636056,9.201598,11.554356,-13.325143,0.224400,-5.463051,-1.994191,-16.156866,8.988053,-2.735754,-0.823625,-4.267210,0.143161,0.561457,-5.481966,12.186096,-44.927715,73.950356,19.555452,21.013529,-10.284293,-10.810823,-6.816786,31.361799,69.506332,2.738451,5.417064,2.040973
1.000000,2533.026123,2321.911133,78.615639,-1.581295,-0.188595,-17.182926,1.983253,2.635680,9.198956,11.554566,-13.325075,0.224961,-5.463058,-1.994055,-16.158098,8.987887,-2.736487,-0.823438,-4.266725,0.142946,0.561516,-5.481850,12.186430,-44.928574,73.950096,19.555149,21.013662,-10.285238,-10.810798,-6.816644,31.361856,69.506020,2.739227,5.417439,2.041488
2.000000,2533.026611,2321.910889,78.615646,-1.581365,-0.187395,-17.180401,1.981507,2.635163,9.195937,11.554958,-13.325242,0.225567,-5.463014,-1.993951,-16.159405,8.987730,-2.737766,-0.823171,-4.266250,0.142795,0.561428,-5.481704,12.186811,-44.929661,73.949646,19.554928,21.014141,-10.286646,-10.810710,-6.816468,31.361904,69.505714,2.740194,5.417964,2.042098
3.000000,2533.027344,2321.910400,78.615646,-1.581370,-0.186168,-17.178097,1.979964,2.634672,9.193339,11.555338,-13.325559,0.225935,-5.462987,-1.993790,-16.160355,8.987638,-2.739196,-0.822979,-4.265896,0.142722,0.561280,-5.481580,12.187152,-44.930798,73.949097,19.554861,21.014849,-10.288195,-10.810582,-6.816299,31.361900,69.505394,2.741251,5.418475,2.042683
4.000000,2533.028320,2321.910156,78.615524,-1.581333,-0.186206,-17.181019,1.980645,2.634404,9.194012,11.555049,-13.327012,0.225979,-5.462829,-1.992934,-16.158432,8.987582,-2.740070,-0.823157,-4.266199,0.143066,0.561279,-5.481202,12.187387,-44.932274,73.948318,19.554298,21.015516,-10.289340,-10.810308,-6.816180,31.361502,69.505104,2.743277,5.418227,2.042971
5.000000,2533.029297,2321.910400,78.615364,-1.581468,-0.186521,-17.185564,1.983238,2.634209,9.197392,11.554858,-13.328959,0.225796,-5.462746,-1.991459,-16.154112,8.987843,-2.740236,-0.823818,-4.267425,0.143720,0.561302,-5.481074,12.187514,-44.933876,73.947563,19.553226,21.015663,-10.289669,-10.809712,-6.816220,31.360996,69.504669,2.745636,5.416749,2.042923
6.000000,2533.030029,2321.910400,78.615341,-1.581903,-0.186077,-17.186052,1.983230,2.633836,9.196101,11.555266,-13.328982,0.225932,-5.462895,-1.990682,-16.153826,8.988346,-2.740744,-0.824419,-4.267537,0.143618,0.561486,-5.481435,12.187819,-44.935062,73.947189,19.552618,21.015444,-10.289889,-10.809317,-6.816201,31.361109,69.504051,2.746722,5.415864,2.043225
7.000000,2533.030518,2321.910156,78.615402,-1.582386,-0.185191,-17.184325,1.982029,2.633518,9.193026,11.555472,-13.328440,0.226415,-5.463065,-1.990232,-16.155180,8.988631,-2.741195,-0.824730,-4.267003,0.143190,0.561830,-5.481593,12.188225,-44.936081,73.946976,19.552198,21.015217,-10.290253,-10.809242,-6.816072,31.361311,69.503479,2.747530,5.415764,2.043756
8.000000,2533.031006,2321.909912,78.615486,-1.582732,-0.184121,-17.181859,1.980386,2.633150,9.189627,11.555560,-13.327953,0.227049,-5.463217,-1.989958,-16.156826,8.988661,-2.741713,-0.824738,-4.266294,0.142783,0.562087,-5.481542,12.188641,-44.937080,73.946785,19.551777,21.015129,-10.290901,-10.809269,-6.815904,31.361471,69.502991,2.748332,5.416102,2.044401
9.000000,2533.031006,2321.909424,78.615547,-1.582927,-0.182985,-17.179229,1.978675,2.632725,9.186443,11.555683,-13.327709,0.227649,-5.463281,-1.989781,-16.158342,8.988497,-2.742446,-0.824589,-4.265665,0.142541,0.562142,-5.481409,12.189001,-44.938091,73.946548,19.551481,21.015335,-10.291716,-10.809258,-6.815729,31.361576,69.502625,2.749160,5.416607,2.045048
10.000000,2533.031494,2321.909180,78.615578,-1.582983,-0.181876,-17.176686,1.977494,2.632382,9.184329,11.555845,-13.327748,0.228053,-5.463263,-1.989660,-16.159256,8.988359,-2.743214,-0.824457,-4.265306,0.142461,0.562066,-5.481276,12.189248,-44.938896,73.946289,19.551281,21.015635,-10.292495,-10.809203,-6.815593,31.361614,69.502419,2.749855,5.416987,2.045505
11.000000,2533.032471,2321.909180,78.615456,-1.582925,-0.182266,-17.180318,1.978405,2.632103,9.185284,11.555440,-13.329229,0.228334,-5.463029,-1.988760,-16.157076,8.988187,-2.743729,-0.824529,-4.265641,0.142959,0.562038,-5.480753,12.189461,-44.940464,73.945580,19.550358,21.016062,-10.293185,-10.808937,-6.815488,31.361170,69.502220,2.751964,5.416658,2.045784
12.000000,2533.033691,2321.909912,78.615120,-1.583185,-0.185413,-17.193312,1.985467,2.632353,9.194780,11.553814,-13.333122,0.228173,-5.462258,-1.985925,-16.147305,8.988304,-2.742652,-0.825343,-4.268070,0.144751,0.562290,-5.479957,12.189343,-44.942799,73.944481,19.548273,21.016006,-10.292543,-10.808156,-6.815643,31.359886,69.501968,2.755999,5.414107,2.045254
13.000000,2533.034912,2321.911133,78.614845,-1.583861,-0.188049,-17.204603,1.992981,2.632587,9.203778,11.552964,-13.336219,0.228177,-5.461533,-1.982878,-16.137918,8.989170,-2.741277,-0.826536,-4.270762,0.146590,0.562449,-5.479913,12.189130,-44.944969,73.943726,19.546339,21.015083,-10.290819,-10.807105,-6.815957,31.359043,69.501480,2.759146,5.410710,2.044606
14.000000,2533.035156,2321.912109,78.614861,-1.584799,-0.188461,-17.206801,1.993761,2.632335,9.203596,11.553710,-13.335830,0.228970,-5.461919,-1.981769,-16.136860,8.989949,-2.740378,-0.827218,-4.271307,0.146680,0.562755,-5.480606,12.189317,-44.946213,73.943703,19.545582,21.013617,-10.288981,-10.806678,-6.816049,31.359238,69.500824,2.759989,5.408833,2.044731
15.000000,2533.034668,2321.912354,78.614998,-1.585619,-0.188117,-17.205142,1.992480,2.632020,9.200342,11.553986,-13.334730,0.230164,-5.462320,-1.981364,-16.138556,8.990248,-2.739460,-0.827375,-4.270619,0.146250,0.563463,-5.480898,12.189661,-44.947155,73.943863,19.544949,21.012220,-10.287506,-10.806777,-6.815996,31.359566,69.500298,2.760420,5.408163,2.045238
16.000000,2533.034424,2321.912842,78.615150,-1.586109,-0.187481,-17.202351,1.990452,2.631550,9.196486,11.554079,-13.333784,0.231473,-5.462654,-1.981284,-16.140764,8.990077,-2.738703,-0.827099,-4.269610,0.145873,0.564085,-5.480836,12.190039,-44.948112,73.943962,19.544254,21.011059,-10.286591,-10.807002,-6.815887,31.359812,69.499924,2.760930,5.408095,2.045923
17.000000,2533.033691,2321.912842,78.615257,-1.586256,-0.186792,-17.199459,1.988382,2.630983,9.193109,11.554334,-13.333275,0.232590,-5.462806,-1.981364,-16.142666,8.989656,-2.738517,-0.826687,-4.268779,0.145758,0.564362,-5.480618,12.190373,-44.949085,73.943893,19.543631,21.010307,-10.286366,-10.807117,-6.815770,31.359945,69.499748,2.761520,5.408214,2.046546
18.000000,2533.033447,2321.912598,78.615311,-1.586135,-0.186117,-17.196789,1.986415,2.630378,9.190196,11.554844,-13.333083,0.233453,-5.462838,-1.981505,-16.144207,8.989264,-2.738945,-0.826279,-4.268202,0.145848,0.564369,-5.480378,12.190673,-44.950100,73.943619,19.543169,21.009932,-10.286738,-10.807107,-6.815663,31.360006,69.499687,2.762167,5.408336,2.047059
