Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,2262.607422,1782.255371,78.550377,-0.523465,0.036958,44.416073,-4.891806,1.825434,7.156683,15.942661,-11.003473,0.505152,0.597023,-4.022835,-15.870077,10.555621,-10.185197,1.905722,-1.956002,0.575000,0.593281,-5.685179,12.344345,-41.667953,72.650604,23.988750,18.595530,-9.796979,-10.173431,-7.439114,30.964521,71.158333,2.599395,6.802580,2.362877
1.000000,2262.606934,1782.253296,78.551666,-0.519286,0.036307,44.410063,-4.881206,1.821932,7.163148,15.920408,-10.991807,0.506944,0.595878,-4.024493,-15.865617,10.553173,-10.180897,1.906131,-1.955716,0.573878,0.592972,-5.683587,12.344635,-41.669685,72.650246,23.987135,18.594778,-9.797917,-10.173243,-7.438210,30.964558,71.159485,2.602181,6.799508,2.362899
2.000000,2262.605957,1782.250366,78.552658,-0.515677,0.034940,44.400430,-4.872004,1.820150,7.173032,15.903168,-10.982216,0.509162,0.593763,-4.025158,-15.858749,10.550895,-10.176871,1.906348,-1.956333,0.572599,0.592299,-5.682979,12.345007,-41.671230,72.650269,23.987057,18.594185,-9.799820,-10.173014,-7.437329,30.964233,71.161163,2.604614,6.795530,2.363062
3.000000,2262.604248,1782.247314,78.552261,-0.515067,0.032338,44.390679,-4.872804,1.822345,7.183761,15.909139,-10.983648,0.512422,0.591097,-4.023664,-15.851772,10.550864,-10.175790,1.906424,-1.957155,0.572018,0.590855,-5.684445,12.345253,-41.671432,72.651237,23.990601,18.593554,-9.802978,-10.173357,-7.436407,30.963152,71.164146,2.605203,6.792266,2.363649
4.000000,2262.601562,1782.245117,78.550842,-0.519065,0.028765,44.380847,-4.883947,1.830213,7.193475,15.939693,-10.998595,0.514944,0.588702,-4.018281,-15.845698,10.553071,-10.177212,1.905566,-1.957967,0.572392,0.588454,-5.687349,12.345455,-41.670521,72.652962,23.997116,18.593019,-9.806935,-10.174034,-7.435359,30.961477,71.167770,2.604148,6.790741,2.364634
5.000000,2262.598389,1782.243896,78.548965,-0.526172,0.024504,44.370636,-4.899589,1.842065,7.202626,15.982997,-11.022221,0.516163,0.587069,-4.009731,-15.839767,10.556165,-10.179156,1.903634,-1.958699,0.573066,0.585449,-5.690559,12.345673,-41.669201,72.655182,24.004776,18.592657,-9.811180,-10.174628,-7.434144,30.959518,71.171379,2.602546,6.790694,2.365828
6.000000,2262.594727,1782.244263,78.547600,-0.532466,0.019944,44.360333,-4.907668,1.850860,7.211213,16.012070,-11.040549,0.515904,0.586620,-4.003013,-15.833630,10.558443,-10.179576,1.901180,-1.959507,0.572643,0.582478,-5.692338,12.345815,-41.668716,72.657364,24.010574,18.592503,-9.814806,-10.174522,-7.432977,30.957848,71.173912,2.602339,6.791308,2.366734
7.000000,2262.591309,1782.245850,78.547623,-0.535472,0.016805,44.359016,-4.907403,1.851250,7.208055,16.017807,-11.044482,0.513965,0.589521,-4.000788,-15.835008,10.558031,-10.178171,1.898105,-1.961540,0.571009,0.580987,-5.692545,12.346418,-41.669464,72.658508,24.013380,18.591667,-9.817065,-10.173697,-7.431730,30.957977,71.174492,2.603725,6.791613,2.366645
8.000000,2262.589111,1782.245972,78.547928,-0.537380,0.011910,44.383540,-4.906649,1.842826,7.180276,16.015038,-11.038235,0.512000,0.600516,-4.002639,-15.854961,10.555450,-10.177987,1.895029,-1.964251,0.567516,0.582207,-5.692338,12.348123,-41.670502,72.658363,24.014526,18.589428,-9.817774,-10.172663,-7.429666,30.960474,71.174034,2.605723,6.791645,2.365559
9.000000,2262.588135,1782.244873,78.548508,-0.536233,0.006611,44.416703,-4.903461,1.831087,7.150693,16.003777,-11.026207,0.512500,0.612178,-4.007264,-15.877919,10.553292,-10.177790,1.893939,-1.962577,0.562383,0.584067,-5.691207,12.350128,-41.671535,72.657600,24.013557,18.586807,-9.817243,-10.171996,-7.427016,30.963278,71.174347,2.608814,6.791770,2.364750
