Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-2335.696777,-1134.890503,78.637222,-0.839249,-1.270836,-140.999441,1.196716,4.180530,7.640298,12.164952,-11.700341,-2.020719,0.289143,-4.814372,-17.041378,10.289850,-8.024027,2.273663,1.199015,0.579892,0.224657,1.247844,16.973347,-37.182598,60.900539,15.574284,11.442407,1.133909,1.865632,-15.255749,37.228069,65.225471,-14.789621,11.474803,-8.865196
1.000000,-2335.700439,-1134.895508,78.637039,-0.840262,-1.263351,-141.003375,1.195514,4.177774,7.639185,12.163961,-11.704076,-2.018081,0.285925,-4.813575,-17.046741,10.289485,-8.025377,2.273383,1.199654,0.578684,0.225214,1.248420,16.971771,-37.178379,60.903416,15.570489,11.444216,1.137022,1.865986,-15.255022,37.224541,65.223442,-14.795167,11.475327,-8.864444
2.000000,-2335.703857,-1134.900513,78.636856,-0.841300,-1.255936,-141.007392,1.193952,4.174163,7.637778,12.162755,-11.709102,-2.014595,0.281727,-4.812511,-17.053802,10.288982,-8.027148,2.273055,1.200488,0.577034,0.225603,1.249231,16.969702,-37.172840,60.907265,15.565589,11.446621,1.141101,1.866539,-15.254004,37.219944,65.220833,-14.802496,11.476051,-8.863387
3.000000,-2335.707031,-1134.905396,78.636673,-0.842326,-1.248841,-141.011380,1.192433,4.170568,7.636449,12.161656,-11.714210,-2.011096,0.277585,-4.811437,-17.060839,10.288457,-8.028884,2.272753,1.201312,0.575325,0.225626,1.250097,16.967642,-37.167324,60.911179,15.560802,11.449047,1.145156,1.867188,-15.252921,37.215424,65.218307,-14.809842,11.476816,-8.862260
4.000000,-2335.710449,-1134.910278,78.636490,-0.843373,-1.241865,-141.015469,1.190980,4.167018,7.635200,12.160687,-11.719303,-2.007605,0.273548,-4.810362,-17.067787,10.287919,-8.030522,2.272455,1.202116,0.573579,0.225299,1.251009,16.965607,-37.161880,60.915119,15.556163,11.451474,1.149154,1.867924,-15.251782,37.211010,65.215904,-14.817140,11.477611,-8.861075
5.000000,-2335.713623,-1134.915039,78.636322,-0.844438,-1.235132,-141.019599,1.189584,4.163492,7.633985,12.159853,-11.724341,-2.004060,0.269597,-4.809271,-17.074749,10.287385,-8.031980,2.272129,1.202902,0.571782,0.224572,1.251987,16.963570,-37.156448,60.919136,15.551618,11.453937,1.153148,1.868768,-15.250570,37.206661,65.213608,-14.824486,11.478457,-8.859817
6.000000,-2335.716553,-1134.919678,78.636147,-0.845502,-1.228701,-141.023789,1.188286,4.159988,7.632831,12.159156,-11.729347,-2.000498,0.265770,-4.808177,-17.081671,10.286859,-8.033320,2.271772,1.203683,0.569933,0.223527,1.253038,16.961533,-37.151073,60.923214,15.547178,11.456417,1.157076,1.869701,-15.249296,37.202389,65.211388,-14.831842,11.479342,-8.858496
7.000000,-2335.718994,-1134.924072,78.635986,-0.846557,-1.222608,-141.028064,1.187112,4.156525,7.631758,12.158600,-11.734251,-1.996940,0.262097,-4.807089,-17.088480,10.286348,-8.034510,2.271365,1.204498,0.568026,0.222274,1.254275,16.959433,-37.145855,60.927368,15.542858,11.458901,1.160727,1.870705,-15.247972,37.198215,65.209290,-14.839142,11.480252,-8.857141
8.000000,-2335.721680,-1134.928467,78.635826,-0.847602,-1.216873,-141.032364,1.186289,4.153924,7.630966,12.158262,-11.737870,-1.994243,0.259414,-4.806268,-17.093601,10.285972,-8.035292,2.271013,1.205117,0.566523,0.221180,1.255255,16.957851,-37.141949,60.930542,15.539653,11.460787,1.163442,1.871513,-15.246922,37.195110,65.207741,-14.844646,11.480955,-8.856090
9.000000,-2335.723633,-1134.932373,78.635689,-0.848603,-1.211688,-141.036572,1.185293,4.150495,7.629941,12.157923,-11.742543,-1.990655,0.255976,-4.805177,-17.100365,10.285498,-8.036166,2.270480,1.205932,0.564444,0.219532,1.256589,16.955772,-37.136791,60.934772,15.535488,11.463299,1.167019,1.872648,-15.245470,37.191055,65.205772,-14.851930,11.481910,-8.854660
10.000000,-2335.725586,-1134.936035,78.635559,-0.849606,-1.206813,-141.040899,1.184423,4.147093,7.628961,12.157709,-11.747046,-1.987063,0.252685,-4.804089,-17.107067,10.285060,-8.036835,2.269864,1.206735,0.562276,0.217675,1.257955,16.953726,-37.131668,60.939041,15.531425,11.465818,1.170564,1.873850,-15.243950,37.187077,65.203873,-14.859183,11.482885,-8.853195
11.000000,-2335.727295,-1134.939575,78.635445,-0.850605,-1.202378,-141.045254,1.183684,4.143708,7.627994,12.157639,-11.751373,-1.983420,0.249550,-4.802990,-17.113762,10.284660,-8.037251,2.269140,1.207522,0.560035,0.215590,1.259363,16.951687,-37.126556,60.943363,15.527435,11.468364,1.174111,1.875131,-15.242360,37.183140,65.202042,-14.866471,11.483897,-8.851682
12.000000,-2335.728760,-1134.942871,78.635338,-0.851588,-1.198399,-141.049653,1.183087,4.140364,7.627066,12.157711,-11.755506,-1.979789,0.246604,-4.801898,-17.120365,10.284292,-8.037455,2.268317,1.208290,0.557770,0.213357,1.260790,16.949677,-37.121502,60.947681,15.523552,11.470895,1.177615,1.876461,-15.240731,37.179283,65.200294,-14.873697,11.484927,-8.850146
