Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-514.963379,714.328735,78.115837,0.055216,-3.892590,-5.819988,4.516080,2.315967,10.476639,14.355540,-14.670146,-0.649624,-2.699745,1.052253,0.448554,19.622776,-12.948297,-0.853175,-5.206634,3.234954,0.871894,-1.031987,15.736362,-46.594166,71.904327,-0.473865,10.811813,-6.147748,-2.358052,-13.556287,38.070415,75.363678,-15.798365,12.600027,8.108074
1.000000,-514.959717,714.331177,78.114891,0.055728,-3.901121,-5.836093,4.535195,2.315295,10.491698,14.351726,-14.674060,-0.650223,-2.696101,1.053791,0.460799,19.636736,-12.953522,-0.852116,-5.207387,3.235278,0.872737,-1.031572,15.734831,-46.595726,71.905334,-0.472467,10.810417,-6.143695,-2.358041,-13.556428,38.071274,75.364914,-15.797004,12.597754,8.108102
2.000000,-514.957947,714.333008,78.114288,0.056032,-3.906403,-5.846377,4.548398,2.314693,10.503009,14.349882,-14.676635,-0.650106,-2.693491,1.054707,0.469344,19.646269,-12.957777,-0.850941,-5.207497,3.235279,0.873191,-1.031644,15.733405,-46.596664,71.906776,-0.471101,10.807937,-6.139432,-2.358068,-13.556515,38.072460,75.366058,-15.796492,12.595645,8.108850
3.000000,-514.958374,714.333679,78.114166,0.056243,-3.908125,-5.846863,4.550273,2.313951,10.504909,14.350647,-14.675495,-0.649343,-2.693294,1.053929,0.468823,19.650011,-12.959903,-0.850506,-5.204747,3.234146,0.873862,-1.032352,15.732740,-46.596287,71.908745,-0.469354,10.804523,-6.135847,-2.358579,-13.556426,38.074337,75.366867,-15.797424,12.594584,8.110889
4.000000,-514.960083,714.333374,78.114227,0.056961,-3.909175,-5.842656,4.548816,2.313030,10.503203,14.350876,-14.673263,-0.648353,-2.693302,1.052497,0.465021,19.651651,-12.961575,-0.850448,-5.200968,3.232804,0.874956,-1.032641,15.732450,-46.595551,71.910278,-0.467149,10.801580,-6.133621,-2.359603,-13.556319,38.076107,75.367645,-15.798479,12.594451,8.113740
5.000000,-514.962463,714.332275,78.114281,0.058350,-3.910480,-5.836867,4.546714,2.311947,10.500517,14.350906,-14.671083,-0.647509,-2.693018,1.050813,0.460517,19.652851,-12.963411,-0.850792,-5.197311,3.231767,0.875776,-1.032695,15.732315,-46.594810,71.911224,-0.464893,10.799699,-6.132669,-2.360667,-13.556205,38.077656,75.368584,-15.799362,12.594875,8.116819
6.000000,-514.965027,714.330444,78.114288,0.060298,-3.912376,-5.830649,4.544957,2.310820,10.497697,14.351073,-14.669053,-0.647034,-2.692245,1.049083,0.456022,19.654427,-12.965764,-0.851649,-5.194111,3.230998,0.876176,-1.032735,15.732224,-46.594170,71.911697,-0.462668,10.798902,-6.133023,-2.361568,-13.556034,38.079086,75.369736,-15.799917,12.595644,8.119861
7.000000,-514.967651,714.328064,78.114265,0.062577,-3.914737,-5.824402,4.543735,2.309794,10.494887,14.351319,-14.666843,-0.647040,-2.691104,1.047459,0.451582,19.656605,-12.968413,-0.853011,-5.191303,3.230307,0.876227,-1.032931,15.732206,-46.593563,71.911858,-0.460385,10.798987,-6.134416,-2.362271,-13.555792,38.080486,75.371017,-15.799999,12.596645,8.122762
8.000000,-514.970398,714.325195,78.114250,0.065026,-3.917321,-5.818063,4.542814,2.308983,10.492071,14.351427,-14.664128,-0.647595,-2.689890,1.046044,0.447083,19.659174,-12.970901,-0.854765,-5.188744,3.229554,0.876204,-1.033402,15.732343,-46.592876,71.911789,-0.457979,10.799704,-6.136500,-2.362852,-13.555496,38.081860,75.372284,-15.799559,12.597826,8.125489
9.000000,-514.972778,714.322327,78.114281,0.067336,-3.918010,-5.814370,4.543222,2.307685,10.489388,14.346945,-14.662865,-0.648059,-2.690847,1.045779,0.445586,19.661278,-12.972992,-0.855473,-5.193367,3.229375,0.875981,-1.032529,15.733276,-46.594410,71.911926,-0.463197,10.801593,-6.139904,-2.363628,-13.555077,38.082291,75.371704,-15.799919,12.597827,8.125566
