Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-1209.982300,0.602820,78.655205,-1.000337,0.232294,-175.879471,2.857115,3.932793,7.129480,8.701755,-11.424411,-2.114473,-1.714153,-4.429260,-18.312597,10.211995,-7.488398,1.647886,0.431827,0.800658,0.199232,-1.619568,15.483994,-35.789165,61.594040,-6.903134,0.333597,5.331676,0.432001,-14.813577,37.312950,67.237823,-16.030224,10.742503,-8.346557
1.000000,-1209.984863,0.601415,78.655052,-1.000670,0.238099,-175.882445,2.853015,3.930924,7.131504,8.702555,-11.426145,-2.113027,-1.718986,-4.428255,-18.310650,10.212421,-7.490237,1.646045,0.431900,0.800735,0.200396,-1.618202,15.484270,-35.786564,61.589668,-6.904821,0.333782,5.331917,0.432737,-14.813834,37.308220,67.233727,-16.032347,10.741472,-8.347327
2.000000,-1209.990356,0.599027,78.655006,-1.002606,0.244801,-175.884744,2.849143,3.929093,7.131997,8.704223,-11.428170,-2.113268,-1.720841,-4.424142,-18.308743,10.208508,-7.489632,1.642965,0.430762,0.802667,0.202652,-1.616715,15.483298,-35.782475,61.582787,-6.897752,0.334238,5.331516,0.434329,-14.814199,37.300732,67.227722,-16.035730,10.739176,-8.349958
3.000000,-1209.996948,0.596584,78.655083,-1.004935,0.251021,-175.885749,2.846981,3.927733,7.130933,8.705244,-11.429317,-2.113439,-1.720204,-4.419615,-18.307924,10.203854,-7.487380,1.641138,0.429578,0.805427,0.204224,-1.615397,15.481537,-35.778221,61.577492,-6.887510,0.334003,5.330182,0.436115,-14.814565,37.293922,67.222870,-16.038422,10.736369,-8.353755
4.000000,-1210.003662,0.594403,78.655151,-1.007087,0.256993,-175.886113,2.845515,3.926334,7.129605,8.705265,-11.430685,-2.112799,-1.719040,-4.415261,-18.307655,10.199347,-7.485630,1.640591,0.428913,0.807895,0.205811,-1.613884,15.479818,-35.773487,61.573338,-6.877899,0.332801,5.328424,0.437959,-14.814852,37.287308,67.218506,-16.040895,10.733111,-8.358245
5.000000,-1210.010010,0.592495,78.655220,-1.009044,0.262623,-175.886128,2.844385,3.924886,7.128291,8.704588,-11.432085,-2.111555,-1.717773,-4.411114,-18.307688,10.195061,-7.484313,1.640884,0.428800,0.810186,0.207628,-1.612210,15.478292,-35.768406,61.569950,-6.869311,0.330727,5.326498,0.439811,-14.815087,37.280880,67.214539,-16.043325,10.729542,-8.363300
6.000000,-1210.015503,0.590822,78.655281,-1.010768,0.267509,-175.885996,2.843639,3.923722,7.127372,8.703845,-11.433108,-2.110316,-1.716800,-4.408101,-18.307829,10.191932,-7.483402,1.641469,0.428958,0.812252,0.209092,-1.610851,15.477160,-35.764423,61.567635,-6.863251,0.328751,5.324979,0.441212,-14.815329,37.276047,67.211739,-16.045197,10.726707,-8.367551
7.000000,-1210.020142,0.589197,78.655365,-1.012347,0.271702,-175.885862,2.842772,3.922025,7.126346,8.702774,-11.434426,-2.108325,-1.715486,-4.404331,-18.308052,10.187908,-7.482170,1.642484,0.429248,0.816076,0.210946,-1.608934,15.475498,-35.759178,61.564705,-6.855611,0.325916,5.322915,0.443035,-14.815878,37.269608,67.208313,-16.047737,10.722925,-8.373709
8.000000,-1210.023560,0.587645,78.655449,-1.013679,0.274938,-175.885825,2.842055,3.920062,7.125546,8.701709,-11.435735,-2.105901,-1.714124,-4.400862,-18.308264,10.183990,-7.480869,1.643527,0.429418,0.821590,0.212533,-1.606859,15.473508,-35.754128,61.561749,-6.848282,0.323130,5.320782,0.444803,-14.816824,37.263073,67.205200,-16.050293,10.719199,-8.380438
9.000000,-1210.026123,0.586156,78.655533,-1.014684,0.277220,-175.885876,2.841509,3.917691,7.124895,8.700739,-11.436988,-2.103023,-1.712677,-4.397838,-18.308418,10.180208,-7.479603,1.644387,0.429373,0.828646,0.213789,-1.604651,15.471171,-35.749405,61.558750,-6.841220,0.320601,5.318596,0.446512,-14.818183,37.256470,67.202400,-16.052763,10.715602,-8.387595
